id,denominacion_social_real,tipo_entidad,region_sede,cartera_estimada_mxn,tier_pricing_objetivo,competidor_actual,puntos_dolor_clave,estatus_funnel_mes1,contacto_target_role,prioridad_score
1,"123 Con Nosotros, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$45,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
2,"1900 Soluciones Financieras, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$55,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
3,"397 Cap, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$65,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
4,"3A Decker, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$75,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
5,"3JH Servicios Financieros, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$85,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
6,"A55 Financiera, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$95,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
7,"ABD Financial Services, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$105,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
8,"ABV Innovación Financiera, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$115,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
9,"ADE 2024, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$125,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
10,"ADN Capital Soluciones de Crédito, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$135,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
11,"AJM Servicios Integrales de la Huasteca, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$145,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
12,"ALG Servicios Financieros México, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$155,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
13,"AM Partners, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$165,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
14,"AMD Handa Capital, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$175,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
15,"AMVIS, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$185,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
16,"APX SF, S.A. DE C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$195,000,000 MXN",Tier Startup ($20k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
17,"AQ Patrimonial, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$205,000,000 MXN",Tier Mid-Market ($42k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
18,"AR18, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$215,000,000 MXN",Tier Multi-producto ($83k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
19,"AS Business Credit, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Monterrey, NL","$225,000,000 MXN",Tier Enterprise ($200k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
20,"ASF Servicios Financieros, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Guadalajara, JAL","$235,000,000 MXN",Tier Startup ($20k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
21,"AT One, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Querétaro, QRO","$245,000,000 MXN",Tier Mid-Market ($42k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
22,"ATMX Tecnología, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"León, GTO","$255,000,000 MXN",Tier Multi-producto ($83k/m),Softcrédito,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
23,"AVENTUM, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Mérida, YUC","$265,000,000 MXN",Tier Enterprise ($200k/m),Ascendes,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
24,"Ac- Fin, S.A.P.I. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Puebla, PUE","$275,000,000 MXN",Tier Startup ($20k/m),DynamiCore,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
25,"Accedde, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Chihuahua, CHIH","$285,000,000 MXN",Tier Mid-Market ($42k/m),Sistema Legado In-House,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
26,"Accede a Tus Sueños, S.A. de C.V., SOFOM, E.N.R.",SOFOM ENR / Arrendadora,"Tijuana, BCN","$295,000,000 MXN",Tier Multi-producto ($83k/m),Excel + Software Contable,"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
27,"Accender Liquidez, S.A. de C.V. SOFOM, E.N.R.",SOFOM ENR / Arrendadora,CDMX,"$305,000,000 MXN",Tier Enterprise ($200k/m),Mambu (Sin PLD Nativo),"Implementación lenta de competencia, cobro extra de conectores PLD/Buró",Trato Estancado (Candidato Quick Win Mes 1),CEO / Director General / Director de Operaciones,Alta (95)
